flow_id,src_ip,dst_ip,dst_port,timestamp,packet_size,protocol,connection_duration,bytes_sent,bytes_received,is_failed,has_dns_lookup,dst_domain
flow_001762,10.35.98.35,20.121.104.106,443,2024-01-15T00:06:38.782478+0000,342,TCP,3.945,112,249,0.0,0,
flow_001763,10.35.98.35,20.121.104.106,443,2024-01-15T00:07:37.041127+0000,349,TCP,3.079,175,164,0.0,1,evil-c2-framework.com
flow_001764,10.35.98.35,20.121.104.106,443,2024-01-15T00:08:36.155134+0000,339,TCP,3.245,180,133,0.0,1,evil-c2-framework.com
flow_001765,10.35.98.35,20.121.104.106,443,2024-01-15T00:09:37.965311+0000,341,TCP,0.408,138,195,0.0,0,
flow_001766,10.35.98.35,20.121.104.106,443,2024-01-15T00:10:37.512572+0000,320,TCP,3.69,163,159,0.0,0,
flow_001767,10.35.98.35,20.121.104.106,443,2024-01-15T00:11:38.094913+0000,333,TCP,1.579,200,130,0.0,1,evil-c2-framework.com
flow_001768,10.35.98.35,20.121.104.106,443,2024-01-15T00:12:37.687603+0000,344,TCP,3.803,94,232,0.0,0,
flow_001769,10.35.98.35,20.121.104.106,443,2024-01-15T00:13:38.528342+0000,339,TCP,4.156,201,138,0.0,0,
flow_001163,10.85.87.178,104.253.55.197,123,2024-01-15T00:14:28.101916+0000,71,UDP,0.0127,25,41,0.0,1,pool.ntp.org
flow_001770,10.35.98.35,20.121.104.106,443,2024-01-15T00:14:38.554053+0000,355,TCP,2.129,218,114,0.0,1,evil-c2-framework.com
flow_001164,10.85.87.178,104.253.55.197,123,2024-01-15T00:15:32.158959+0000,60,UDP,0.0954,31,28,0.0,1,pool.ntp.org
flow_001771,10.35.98.35,20.121.104.106,443,2024-01-15T00:15:38.027364+0000,317,TCP,3.395,97,209,0.0,0,
flow_001165,10.85.87.178,104.253.55.197,123,2024-01-15T00:16:35.248526+0000,67,UDP,0.0833,30,39,0.0,1,pool.ntp.org
flow_001772,10.35.98.35,20.121.104.106,443,2024-01-15T00:16:39.324143+0000,333,TCP,3.341,164,163,0.0,1,evil-c2-framework.com
flow_001166,10.85.87.178,104.253.55.197,123,2024-01-15T00:17:38.385853+0000,83,UDP,0.0987,35,47,0.0,1,pool.ntp.org
flow_001773,10.35.98.35,20.121.104.106,443,2024-01-15T00:17:38.493743+0000,335,TCP,4.013,74,266,0.0,1,evil-c2-framework.com
flow_001774,10.35.98.35,20.121.104.106,443,2024-01-15T00:18:38.115257+0000,341,TCP,3.087,133,205,1.0,0,
flow_001167,10.85.87.178,104.253.55.197,123,2024-01-15T00:18:42.023799+0000,69,UDP,0.0644,35,31,0.0,1,pool.ntp.org
flow_001775,10.35.98.35,20.121.104.106,443,2024-01-15T00:19:37.752933+0000,351,TCP,2.536,148,213,0.0,0,
flow_001168,10.85.87.178,104.253.55.197,123,2024-01-15T00:19:45.767598+0000,68,UDP,0.0263,43,23,0.0,1,pool.ntp.org
flow_001776,10.35.98.35,20.121.104.106,443,2024-01-15T00:20:38.636929+0000,338,TCP,1.563,146,194,0.0,0,
flow_001169,10.85.87.178,104.253.55.197,123,2024-01-15T00:20:50.287762+0000,85,UDP,0.0548,43,39,0.0,1,pool.ntp.org
flow_001777,10.35.98.35,20.121.104.106,443,2024-01-15T00:21:38.551896+0000,355,TCP,2.418,165,203,0.0,1,evil-c2-framework.com
flow_001170,10.85.87.178,104.253.55.197,123,2024-01-15T00:21:54.434883+0000,66,UDP,0.0608,28,33,0.0,1,pool.ntp.org
flow_001778,10.35.98.35,20.121.104.106,443,2024-01-15T00:22:40.080453+0000,352,TCP,0.45,150,195,0.0,0,
flow_001171,10.85.87.178,104.253.55.197,123,2024-01-15T00:22:59.265490+0000,48,UDP,0.0651,22,22,0.0,1,pool.ntp.org
flow_001779,10.35.98.35,20.121.104.106,443,2024-01-15T00:23:37.097295+0000,357,TCP,2.503,204,151,1.0,1,evil-c2-framework.com
flow_001172,10.85.87.178,104.253.55.197,123,2024-01-15T00:24:04.129723+0000,78,UDP,0.0332,35,42,0.0,1,pool.ntp.org
flow_001780,10.35.98.35,20.121.104.106,443,2024-01-15T00:24:35.393352+0000,344,TCP,4.712,174,153,0.0,0,
flow_001173,10.85.87.178,104.253.55.197,123,2024-01-15T00:25:07.551116+0000,87,UDP,0.0125,45,40,0.0,1,pool.ntp.org
flow_001781,10.35.98.35,20.121.104.106,443,2024-01-15T00:25:35.428577+0000,348,TCP,3.619,216,142,0.0,0,
flow_001174,10.85.87.178,104.253.55.197,123,2024-01-15T00:26:11.801938+0000,81,UDP,0.0244,46,35,0.0,1,pool.ntp.org
