flow_id,src_ip,dst_ip,dst_port,is_malicious,beacon_type,mitre_technique_id,dst_domain
flow_001762,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001763,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001764,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001765,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001766,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001767,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001768,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001769,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001163,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001770,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001164,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001771,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001165,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001772,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001166,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001773,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001774,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001167,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001775,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001168,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001776,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001169,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001777,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001170,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001778,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001171,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001779,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001172,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001780,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001173,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001781,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001174,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001782,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001175,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001783,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001176,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001784,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001177,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001785,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001178,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001786,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001179,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001787,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001180,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001788,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001789,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001181,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001143,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001790,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001182,10.85.87.178,104.253.55.197,123,0,none,,pool.ntp.org
flow_001144,10.88.148.232,23.90.4.136,123,0,none,,
flow_001791,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001145,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001792,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001146,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001793,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001147,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001794,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001148,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001795,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001149,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001796,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001150,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001797,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001151,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001798,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001152,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001799,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001800,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001153,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001801,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,
flow_001154,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001802,10.35.98.35,20.121.104.106,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001155,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001156,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001157,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001803,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001158,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001804,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001060,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001159,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001061,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001062,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001805,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001063,10.212.31.74,20.216.11.139,443,0,none,,example.com
